Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Power","https://scanx.trade/company/reliance-power-ltd","33.68","-4.64%","35.52","95,09,309","13,929.28","49.06","10.15","76.49","31.30","-15.69%","-25.12%","-19.58%","134.70%","876.23%","0.95","-","-19.31%","16.13%","-","39.55","47.20","38.60","-","-"
"Niva Bupa Health Insurance Company","https://scanx.trade/company/niva-bupa-health-insurance-company-ltd","75.46","0.64%","73.87","73,881","13,927.74","149.96","-4.58","95.00","61.01","1.60%","-9.07%","-4.21%","1.97%","1.97%","3.64","-","-","-6.79%","-","75.36","80.32","50.05","60.00%","-"
"Syrma SGS","https://scanx.trade/company/syrma-sgs-ltd","723.40","1.51%","712.10","51,143","13,922.86","57.10","30.46","909.50","355.05","-11.86%","-9.00%","25.04%","168.72%","131.08%","4.89","0.19%","7.98%","14.84%","5.58","790.68","667.04","40.11","50.00%","-"
"Usha Martin","https://scanx.trade/company/usha-martin-ltd","450.15","-0.14%","450.05","19,877","13,717.95","34.02","25.07","497.50","278.80","5.15%","-5.35%","19.29%","156.42%","1,282.95%","4.63","0.67%","17.79%","18.22%","14.02","448.09","378.85","52.41","65.84%","-"
"Gravita India","https://scanx.trade/company/gravita-india-ltd","1,858.00","0.16%","1,846.00","19,331","13,713.61","37.82","-96.54","2,337.25","1,435.00","1.99%","15.62%","-15.95%","321.36%","2,453.95%","6.06","0.34%","33.92%","17.82%","36.86","1,759.79","1,766.22","59.44","50.00%","-"
"India Cements","https://scanx.trade/company/india-cements-ltd","440.00","-1.76%","448.00","24,452","13,635.48","1,092.44","1,099.75","451.35","239.00","12.06%","15.02%","15.73%","100.50%","203.24%","2.91","-","-2.91%","0.66%","-","406.02","356.99","60.34","66.29%","-"
"Minda Corporation","https://scanx.trade/company/minda-corporation-ltd","569.05","0.38%","567.30","14,352","13,604.81","50.80","174.46","644.35","445.25","-2.07%","-0.09%","16.58%","177.99%","523.62%","5.56","0.25%","11.37%","13.79%","10.30","586.19","536.91","41.01","67.22%","-"
"IFCI","https://scanx.trade/company/ifci-ltd","50.46","-1.96%","51.00","5,16,674","13,595.51","22.00","-183.67","74.50","35.67","-0.96%","-5.03%","-14.68%","272.67%","437.38%","1.56","-","-1.80%","6.49%","0.53","52.49","53.50","48.82","0.00%","-"
"Caplin Point Laboratories","https://scanx.trade/company/caplin-point-laboratories-ltd","1,787.35","-5.07%","1,890.00","25,731","13,585.95","24.00","24.90","2,625.00","1,551.05","-6.55%","-11.24%","-29.50%","151.17%","253.93%","4.53","0.32%","19.77%","23.34%","62.84","1,948.88","2,027.03","31.00","50.00%","-"
"Trident","https://scanx.trade/company/trident-ltd","26.58","0.04%","26.37","4,05,297","13,545.05","30.54","17.68","34.85","23.20","-5.81%","-5.64%","-19.26%","-21.59%","173.74%","2.93","1.35%","8.11%","10.23%","0.65","27.95","28.67","33.45","67.46%","-"
"Paradeep Phosphates","https://scanx.trade/company/paradeep-phosphates-ltd","165.20","2.29%","161.60","15,06,604","13,486.03","17.14","33.66","234.05","83.35","4.13%","-15.02%","51.42%","181.67%","275.88%","2.52","0.49%","8.68%","22.66%","2.76","162.27","165.55","58.05","62.50%","-"
"Zydus Wellness","https://scanx.trade/company/zydus-wellness-ltd","423.05","-0.32%","424.00","9,454","13,459.79","53.32","17.80","530.55","298.60","-1.87%","-12.88%","11.77%","41.46%","7.78%","2.37","0.28%","4.98%","6.51%","47.81","446.35","411.49","40.39","71.60%","-"
"Aarti Industries","https://scanx.trade/company/aarti-industries-ltd","370.10","-1.70%","376.00","28,773","13,419.60","46.89","200.61","494.00","345.15","-3.18%","-0.58%","-9.70%","-39.44%","-30.84%","2.39","0.27%","7.87%","7.62%","13.35","377.96","409.27","47.30","74.84%","-"
"Rainbow Childrens Medicare","https://scanx.trade/company/rainbow-childrens-medicare-ltd","1,315.00","-1.13%","1,329.90","6,886","13,355.03","52.99","-80.64","1,651.55","1,205.65","-3.31%","-1.99%","-11.64%","72.82%","192.16%","8.90","0.23%","17.26%","18.08%","21.23","1,351.15","1,415.48","40.25","60.00%","-"
"IndiaMART InterMesh","https://scanx.trade/company/indiamart-intermesh-ltd","2,216.00","0.86%","2,209.55","7,441","13,303.12","24.55","40.63","2,772.00","1,850.00","-4.22%","-5.01%","-2.38%","3.55%","-28.78%","6.18","2.27%","19.24%","24.49%","60.84","2,348.18","2,390.37","40.07","60.00%","-"
"LT Foods","https://scanx.trade/company/daawat-lt-foods-ltd","383.00","-2.41%","394.45","56,822","13,299.79","21.35","17.80","518.35","290.05","-6.20%","-5.32%","-9.13%","104.87%","104.87%","3.25","0.76%","15.11%","20.34%","17.54","406.58","418.74","37.33","63.59%","-"
"Cemindia Projects","https://scanx.trade/company/itd-cementation-india-ltd","766.00","-1.68%","785.00","21,122","13,158.93","30.02","-2.81","943.20","477.00","-8.64%","-2.20%","43.77%","544.24%","1,217.28%","6.54","0.26%","18.30%","36.04%","18.73","815.79","739.23","39.03","62.97%","-"
"Intellect Design Arena","https://scanx.trade/company/intellect-design-arena-ltd","945.20","-5.16%","996.60","14,281","13,146.96","34.47","39.80","1,255.00","555.05","-15.03%","-1.82%","-1.87%","114.45%","196.44%","4.70","0.70%","13.17%","15.28%","22.02","1,061.93","993.61","30.61","50.00%","-"
"Blue Dart Express","https://scanx.trade/company/blue-dart-express-ltd","5,537.80","1.36%","5,450.00","3,146","13,140.06","48.67","24.33","7,222.35","5,244.00","-3.20%","-0.71%","-16.69%","-28.06%","35.70%","7.95","0.46%","22.02%","18.32%","123.54","5,752.27","6,088.46","49.56","69.94%","-"
"Bombay Burmah Trading","https://scanx.trade/company/bombay-burmah-trading-ltd","1,874.00","2.46%","1,829.10","15,015","13,075.25","5.61","174.46","2,345.00","1,521.00","2.18%","6.29%","-13.19%","106.51%","44.90%","2.04","0.93%","26.15%","37.06%","165.89","1,909.90","1,890.26","49.94","65.39%","-"
"BLS International Services","https://scanx.trade/company/bls-international-service-ltd","317.35","0.19%","313.60","78,560","13,066.60","20.38","39.80","522.30","277.00","-3.78%","-3.19%","-32.43%","87.23%","1,380.87%","6.12","0.32%","24.40%","27.33%","8.70","320.63","358.14","46.58","50.00%","-"
"Lemon Tree Hotels","https://scanx.trade/company/lemon-tree-hotels-ltd","161.60","0.87%","159.25","53,782","12,802.70","45.64","282.29","180.60","110.55","2.12%","-1.13%","5.69%","92.04%","297.05%","10.26","-","9.94%","13.58%","1.83","161.10","151.70","51.39","67.71%","-"
"Kirloskar Brothers","https://scanx.trade/company/kirloskar-brothers-ltd","1,608.55","1.50%","1,583.75","5,635","12,773.32","31.78","53.31","2,475.55","1,424.05","-4.68%","-16.78%","-20.68%","406.15%","1,147.42%","5.70","0.44%","19.69%","25.30%","43.89","1,728.62","1,854.82","43.52","50.00%","-"
"Welspun Living","https://scanx.trade/company/welspun-india-ltd","133.00","0.99%","130.80","1,16,640","12,756.73","35.12","24.75","166.60","105.00","-10.56%","15.95%","-14.41%","-16.27%","-16.27%","2.62","0.13%","4.83%","15.28%","7.25","133.84","130.66","47.24","50.00%","-"
"Vardhman Textiles","https://scanx.trade/company/vardhman-textiles-ltd","441.05","-0.71%","435.10","3,647","12,756.37","15.20","17.68","539.50","362.60","0.95%","7.52%","-12.76%","33.85%","103.34%","1.27","1.13%","9.30%","11.25%","25.37","440.14","446.84","48.48","67.53%","-"
"Gallantt Ispat","https://scanx.trade/company/gallantt-metal-ltd","526.75","-0.69%","526.75","12,179","12,709.47","25.97","25.07","800.60","290.10","-10.78%","-20.66%","54.49%","758.60%","1,240.33%","4.12","0.24%","7.71%","18.81%","13.12","573.90","551.39","35.42","50.00%","-"
"Nuvoco Vistas Corporation","https://scanx.trade/company/nuvoco-vistas-corp-ltd","355.70","-1.71%","361.95","1,50,526","12,704.04","47.25","30.76","477.35","288.00","-0.27%","-15.96%","2.18%","-1.59%","-33.05%","1.41","-","1.64%","4.05%","3.80","373.42","377.93","45.38","71.10%","-"
"NMDC Steel","https://scanx.trade/company/nmdc-steel-ltd","43.24","3.54%","41.80","5,83,856","12,671.94","-","23.17","49.62","28.35","3.30%","-3.20%","0.72%","36.19%","36.19%","-","-","-","-14.38%","-","42.41","39.97","62.10","50.00%","-"
"CCL Products","https://scanx.trade/company/ccl-products-india-ltd","948.70","-1.03%","958.60","4,223","12,667.79","37.84","-11.03","1,072.65","475.00","-6.06%","10.90%","28.92%","76.57%","256.45%","6.13","0.52%","18.14%","17.86%","19.53","961.32","832.57","45.04","0.00%","-"
"Fine Organic Industries","https://scanx.trade/company/fine-organic-industries-ltd","4,075.00","-1.90%","4,154.45","254","12,493.94","31.41","200.61","5,490.00","3,355.05","-7.61%","-9.85%","-5.81%","-28.09%","62.13%","5.14","0.26%","21.44%","24.27%","138.88","4,398.80","4,578.35","28.87","50.00%","-"
"Indegene","https://scanx.trade/company/indegene-ltd","519.25","-0.62%","521.35","16,011","12,469.25","28.17","40.63","681.10","485.15","-2.20%","-9.24%","-13.64%","-9.01%","-9.01%","4.38","0.38%","23.56%","20.33%","14.81","528.50","558.43","42.96","60.00%","-"
"Can Fin Homes","https://scanx.trade/company/can-fin-homes-ltd","924.25","2.68%","895.00","10,157","12,306.77","13.01","16.44","970.00","558.80","4.49%","23.08%","22.51%","74.32%","84.48%","2.19","1.33%","17.28%","10.81%","57.59","890.12","783.56","55.19","70.49%","-"
"Zen Technologies","https://scanx.trade/company/zen-technologies-ltd","1,353.15","-2.39%","1,395.05","28,807","12,217.64","46.12","40.63","2,590.00","946.65","-3.76%","-5.18%","-44.32%","631.83%","1,442.93%","6.97","0.14%","15.13%","23.07%","18.54","1,383.58","1,558.90","43.54","50.00%","-"
"Techno Electric & Engineering","https://scanx.trade/company/techno-electric-engineering-ltd","1,043.50","-2.86%","1,074.30","17,558","12,135.86","26.54","13.76","1,718.20","795.00","-13.50%","-21.59%","-33.98%","228.71%","361.01%","3.21","0.84%","12.53%","11.95%","25.49","1,197.09","1,299.64","32.93","50.00%","-"
"Cyient","https://scanx.trade/company/cyient-ltd","1,090.30","-1.33%","1,100.45","39,715","12,111.83","19.98","39.80","1,933.10","1,050.20","-2.86%","-4.88%","-40.99%","33.46%","111.63%","2.21","2.35%","15.42%","15.30%","63.07","1,151.10","1,217.65","34.70","73.33%","-"
"Bata","https://scanx.trade/company/bata-india-ltd","937.10","-0.28%","939.80","1,490","12,044.32","70.82","29.12","1,476.95","930.65","-6.24%","-19.17%","-32.54%","-42.47%","-40.84%","7.92","2.02%","17.19%","19.23%","27.57","1,018.61","1,161.17","31.35","73.50%","-"
"Cello World","https://scanx.trade/company/cello-world-ltd","539.55","-0.13%","540.30","1,916","11,917.85","33.08","39.99","783.45","485.20","-9.38%","-5.14%","-27.22%","-31.87%","-31.87%","5.20","0.28%","26.00%","20.25%","15.22","593.49","587.03","34.85","50.00%","-"
"Titagarh Rail Systems","https://scanx.trade/company/titagarh-wagons-ltd","883.35","-2.73%","907.35","3,07,695","11,896.41","62.67","38.29","1,159.50","655.30","6.85%","-0.15%","-19.84%","112.24%","112.24%","4.82","0.11%","13.00%","17.07%","21.80","843.10","853.42","63.04","69.11%","-"
"Chennai Petroleum Corporation","https://scanx.trade/company/chennai-petroleum-corporation-ltd","797.60","-1.82%","811.00","81,266","11,877.17","10.34","12.52","1,103.00","433.20","-12.94%","4.45%","34.65%","290.12%","654.59%","1.37","0.62%","31.12%","5.19%","170.95","921.22","736.15","28.01","62.63%","-"
"Birlasoft","https://scanx.trade/company/birlasoft-ltd","424.50","-2.74%","437.05","62,376","11,824.15","26.36","39.80","581.00","330.15","11.70%","22.07%","-26.14%","44.88%","69.06%","3.29","1.49%","20.49%","19.59%","23.05","400.05","395.88","50.91","75.80%","-"
"Railtel Corporation of India","https://scanx.trade/company/railtel-corporation-of-india-ltd","367.20","-1.36%","371.80","1,53,950","11,784.86","81.09","51.60","478.80","265.30","8.32%","-1.91%","-6.66%","192.12%","202.47%","6.93","0.60%","11.47%","14.28%","5.84","349.90","361.86","61.10","60.66%","-"
"Indian Energy Exchange","https://scanx.trade/company/indian-energy-exchange-ltd","132.05","-1.27%","133.70","2,93,256","11,774.80","25.48","40.63","215.40","130.35","-5.24%","-5.48%","-26.23%","-5.37%","82.34%","9.56","2.24%","36.08%","47.66%","4.17","140.98","163.15","32.17","75.00%","-"
"Newgen Software Technologies","https://scanx.trade/company/newgen-software-technologies-ltd","829.55","-0.09%","830.85","30,682","11,752.96","35.94","39.80","1,795.50","740.05","-5.90%","-5.39%","-51.50%","367.54%","507.95%","7.41","0.59%","20.56%","25.22%","19.17","896.73","977.92","38.07","50.00%","-"
"Sammaan Capital","https://scanx.trade/company/indiabulls-housing-finance-ltd","141.20","-0.35%","142.10","2,85,999","11,696.42","9.25","16.44","192.90","97.80","-8.19%","-8.58%","-5.68%","-27.24%","-27.24%","0.52","1.41%","6.50%","3.96%","25.15","162.10","136.30","37.56","50.00%","-"
"Aavas Financiers","https://scanx.trade/company/aavas-financiers-ltd","1,472.00","-0.25%","1,456.05","4,207","11,652.55","23.81","16.44","2,238.35","1,435.10","-4.91%","-8.63%","-11.25%","-20.81%","-12.52%","3.10","-","13.00%","8.96%","61.97","1,583.68","1,756.45","40.16","69.88%","-"
"Jaiprakash Power Ventures","https://scanx.trade/company/jaiprakash-power-ventures-ltd","16.98","-0.76%","17.10","32,58,963","11,637.17","15.84","10.15","27.62","12.35","-9.68%","-3.25%","-3.47%","130.08%","425.70%","0.92","-","8.91%","10.06%","2.30","18.30","17.67","34.30","36.00%","-"
"HEG","https://scanx.trade/company/heg-ltd","600.80","-0.12%","594.65","3,14,410","11,594.09","45.02","35.13","622.00","332.20","13.86%","18.30%","20.68%","191.58%","216.38%","2.49","0.30%","7.04%","4.37%","50.68","535.21","504.29","74.06","50.00%","-"
"Home First Finance Company","https://scanx.trade/company/home-first-finance-company-ltd","1,115.60","0.51%","1,103.40","3,973","11,553.22","25.47","16.44","1,518.80","838.65","0.26%","-6.10%","5.98%","52.51%","111.53%","2.87","0.29%","14.41%","10.08%","36.43","1,163.65","1,213.61","41.97","66.23%","-"
"Graphite","https://scanx.trade/company/graphite-india-ltd","587.80","-2.45%","594.20","90,794","11,484.18","49.67","35.13","651.25","366.00","5.94%","7.73%","5.33%","58.39%","89.52%","2.00","1.83%","14.33%","9.90%","15.55","564.83","534.00","61.47","64.94%","-"
"RITES","https://scanx.trade/company/rites-ltd","237.40","-3.08%","244.45","71,531","11,409.53","26.11","40.63","316.15","192.30","0.13%","-4.37%","-11.19%","39.52%","77.96%","4.47","3.08%","21.00%","19.48%","17.74","239.75","253.00","51.11","63.05%","-"
"Whirlpool","https://scanx.trade/company/whirlpool-of-india-ltd","889.00","-2.44%","911.20","45,342","11,278.91","32.85","56.87","1,888.00","887.65","-17.45%","-25.94%","-50.33%","-40.13%","-64.58%","2.83","0.55%","5.84%","11.63%","23.58","1,140.11","1,220.75","26.83","66.48%","-"
"Engineers India","https://scanx.trade/company/engineers-india-ltd","200.00","-0.60%","202.05","3,31,197","11,240.85","21.05","13.76","255.25","142.15","1.50%","3.71%","12.71%","157.90%","155.59%","4.18","1.99%","17.55%","23.44%","7.08","198.03","200.57","52.83","63.31%","-"
"Finolex Cables","https://scanx.trade/company/finolex-cables-ltd","732.05","-1.42%","741.80","15,209","11,195.92","17.10","22.19","1,202.35","708.00","-2.33%","-8.80%","-36.75%","34.82%","111.54%","1.99","1.08%","11.54%","15.60%","48.07","768.02","858.84","38.23","65.84%","-"
"Aether Industries","https://scanx.trade/company/aether-industries-ltd","833.50","0.14%","844.35","1,663","11,051.40","56.70","200.61","936.50","723.15","-4.94%","10.99%","-5.31%","-0.79%","7.31%","4.74","-","10.48%","9.85%","6.95","824.19","791.67","46.81","50.00%","-"
"Action Construction Equipment","https://scanx.trade/company/action-construction-equipment-ltd","926.15","-0.85%","934.20","19,756","11,028.89","26.61","38.29","1,599.55","909.30","-6.74%","-14.06%","-39.12%","210.58%","572.59%","6.24","0.21%","26.65%","35.46%","28.95","1,000.79","1,121.97","40.53","50.00%","-"
"Jubilant Ingrevia","https://scanx.trade/company/jubilant-ingrevia-ltd","692.40","-2.45%","708.50","5,884","11,028.63","39.26","200.61","884.00","556.55","-2.09%","7.89%","-14.58%","30.44%","155.26%","3.72","0.70%","6.68%","11.00%","10.93","694.00","706.60","47.76","50.00%","-"
"Mahanagar Gas","https://scanx.trade/company/mahanagar-gas-ltd","1,114.45","-0.59%","1,121.95","9,051","11,008.29","11.32","40.63","1,586.00","1,093.00","-7.10%","-11.49%","-11.38%","33.19%","2.93%","1.78","2.68%","24.86%","21.64%","121.15","1,202.81","1,317.95","35.96","74.26%","-"
"Jammu & Kashmir Bank","https://scanx.trade/company/jk-bank-ltd","99.30","1.27%","98.05","71,387","10,934.74","5.17","9.55","117.20","82.01","-7.11%","-1.16%","-0.15%","77.64%","330.62%","0.79","2.19%","14.52%","5.71%","16.88","104.38","103.00","41.63","65.00%","-"
"PCBL Chemical","https://scanx.trade/company/pcbl-ltd","288.95","-2.07%","295.20","67,664","10,906.78","33.26","200.61","471.45","290.85","-11.13%","-22.92%","-33.86%","121.93%","247.71%","3.00","1.79%","15.11%","13.26%","13.24","333.00","380.08","19.95","65.02%","-"
"Godrej Agrovet","https://scanx.trade/company/godrej-agrovet-ltd","563.85","0.21%","562.65","8,519","10,844.44","26.45","17.80","876.30","560.25","-5.09%","-20.91%","-24.48%","19.89%","5.18%","5.98","1.95%","12.31%","20.74%","20.26","600.75","716.54","38.26","68.81%","-"
"Finolex Industries","https://scanx.trade/company/finolex-industries-ltd","170.60","0.03%","170.55","17,651","10,585.34","22.03","28.48","255.75","144.05","-4.51%","-15.29%","-29.98%","-9.88%","32.26%","1.79","2.10%","5.11%","16.75%","8.64","178.92","194.24","45.52","67.22%","-"
"Elecon Engineering Company","https://scanx.trade/company/elecon-engineering-company-ltd","470.85","-1.03%","475.05","12,592","10,565.87","20.64","38.29","716.55","348.05","-6.68%","-15.74%","-25.31%","158.71%","2,102.29%","4.76","0.42%","22.17%","25.09%","15.86","513.47","560.75","36.54","60.00%","-"
"Jindal SAW","https://scanx.trade/company/jindal-saw-ltd","165.00","-0.15%","165.40","84,774","10,551.89","9.43","23.17","301.60","153.20","1.38%","-18.68%","-42.85%","214.71%","332.73%","0.87","1.21%","17.00%","21.55%","57.92","168.65","212.49","48.69","60.00%","-"
"Jyothy Laboratories","https://scanx.trade/company/jyothy-laboratories-ltd","277.60","-1.75%","286.90","53,134","10,193.87","28.00","85.80","422.60","267.90","-7.56%","-9.50%","-30.73%","37.19%","87.69%","5.06","1.24%","20.40%","22.69%","10.21","301.12","329.92","31.93","68.36%","-"
"Sonata Software","https://scanx.trade/company/sonata-software-ltd","359.10","0.62%","356.85","36,405","10,070.06","22.65","39.80","634.25","286.40","0.49%","4.54%","-39.48%","28.18%","145.82%","5.65","1.22%","21.94%","30.13%","14.74","362.74","376.31","51.69","63.79%","-"
"Relaxo Footwears","https://scanx.trade/company/relaxo-footwears-ltd","400.00","-0.72%","401.35","1,667","9,957.54","57.56","29.12","639.85","375.35","-2.36%","-10.61%","-35.72%","-56.14%","-50.02%","4.75","0.74%","10.02%","10.84%","7.57","417.97","438.42","39.56","71.20%","-"
"Olectra Greentech","https://scanx.trade/company/olectra-greentech-ltd","1,207.90","0.66%","1,188.15","17,764","9,914.53","69.01","766.77","1,712.50","973.65","-3.45%","-23.12%","-16.57%","144.59%","860.56%","8.78","0.03%","7.95%","19.16%","10.08","1,328.02","1,326.03","44.23","50.00%","-"
"PVR Inox","https://scanx.trade/company/pvr-cinemas-ltd","996.00","-2.03%","1,009.55","26,156","9,780.72","-257.38","11.15","1,347.60","825.65","-6.77%","-9.50%","-23.94%","-31.74%","-31.74%","1.41","-","-4.59%","3.16%","-","1,102.70","1,036.93","34.17","69.66%","-"
"NCC","https://scanx.trade/company/ncc-nagarjuna-construction-company-ltd","155.15","-3.12%","160.05","3,83,794","9,741.04","11.92","-2.81","280.90","152.25","-9.51%","-24.79%","-42.52%","88.29%","159.45%","1.33","1.37%","9.96%","23.70%","12.23","180.26","207.89","32.35","71.80%","-"
"Medplus Health Services","https://scanx.trade/company/medplus-health-services-ltd","809.30","0.23%","807.50","1,490","9,697.24","49.60","39.99","1,052.05","603.00","0.12%","5.83%","-4.47%","30.01%","-27.80%","5.24","-","3.36%","10.27%","6.36","791.50","823.02","51.88","50.00%","-"
"Metropolis Healthcare","https://scanx.trade/company/metropolis-healthcare-ltd","1,846.80","-2.58%","1,895.65","3,737","9,567.80","61.85","-80.64","2,259.30","1,383.70","-4.50%","-8.66%","-10.14%","40.49%","-5.46%","6.86","-","11.69%","13.32%","26.74","1,935.65","1,868.09","34.84","60.00%","-"
"JK Lakshmi Cement","https://scanx.trade/company/jk-lakshmi-cement-ltd","769.65","-0.06%","770.20","5,386","9,554.78","20.50","30.76","1,020.85","661.00","1.47%","-8.51%","-7.61%","-3.47%","130.88%","2.58","0.80%","14.53%","8.91%","38.89","803.79","849.47","44.63","69.98%","-"
"Latent View Analytics","https://scanx.trade/company/latent-view-analytics-ltd","461.00","0.07%","460.80","14,063","9,524.31","50.13","39.80","517.00","340.40","-7.49%","14.72%","-0.30%","24.38%","-5.65%","5.86","-","11.54%","14.21%","8.01","467.94","423.10","43.56","68.80%","-"
"Mamaearth","https://scanx.trade/company/mama-earth-ltd","291.30","5.26%","281.55","23,81,457","9,478.02","68.50","39.99","334.00","190.00","0.40%","5.18%","16.36%","-13.60%","-13.60%","7.09","-","10.09%","7.86%","3.89","277.36","276.97","62.15","50.00%","-"
"Clean Science & Technology","https://scanx.trade/company/clean-science-technology-ltd","884.80","1.49%","872.55","32,377","9,403.11","34.93","200.61","1,599.00","863.20","-3.10%","-19.86%","-36.60%","-40.14%","-44.18%","6.18","0.69%","20.28%","24.59%","23.62","942.00","1,180.02","39.52","69.02%","-"
"Aditya Birla Fashion & Retail","https://scanx.trade/company/aditya-birla-fashion-ltd","76.00","-1.26%","76.97","92,726","9,274.03","-15.80","24.75","107.71","72.04","-2.69%","-10.58%","-24.92%","-27.59%","26.41%","1.50","-","-1.78%","-1.19%","-","78.64","83.33","45.71","74.79%","-"
"Ramkrishna Forgings","https://scanx.trade/company/ramkrishna-forgings-ltd","511.05","-0.28%","511.00","15,510","9,251.57","41.60","21.23","1,019.90","473.35","-7.11%","-1.75%","-43.37%","95.54%","420.42%","3.02","0.39%","12.72%","7.32%","19.02","530.76","604.18","46.12","60.00%","-"
"CE Info Systems","https://scanx.trade/company/ce-info-systems-ltd","1,689.75","-1.05%","1,710.00","6,834","9,246.59","64.15","39.80","2,165.00","1,542.00","0.69%","3.41%","6.42%","61.72%","21.17%","11.22","0.20%","20.37%","25.90%","25.44","1,720.23","1,757.43","50.69","60.00%","-"
"RHI Magnesita","https://scanx.trade/company/orient-refractories-ltd","443.70","-1.28%","448.55","5,470","9,162.47","58.98","33.86","547.65","376.75","-4.39%","0.37%","-10.09%","-46.21%","84.34%","2.31","0.56%","-15.62%","6.99%","6.58","459.17","467.99","44.19","68.31%","-"
"HFCL","https://scanx.trade/company/himachal-futuristic-communications-ltd","63.49","-2.38%","64.57","41,80,502","9,159.53","309.71","37.96","116.35","60.73","-9.53%","-14.36%","-42.78%","-13.68%","143.72%","2.13","0.14%","10.10%","8.62%","2.59","71.27","77.53","39.54","69.54%","-"
"Blue Jet Healthcare","https://scanx.trade/company/blue-jet-healthcare-ltd","519.80","-0.05%","520.00","20,590","9,016.73","25.61","17.47","1,028.20","512.95","-10.00%","-18.66%","-6.65%","31.31%","31.31%","7.18","0.23%","39.96%","50.91%","9.47","579.63","740.05","36.39","50.00%","-"
"Balrampur Chini Mills","https://scanx.trade/company/balrampur-chini-mills-ltd","438.15","1.22%","430.35","10,138","8,848.17","21.58","-169.88","627.00","408.65","-2.11%","-3.25%","-15.42%","11.08%","158.19%","2.23","0.69%","15.72%","14.34%","26.33","450.96","527.41","46.07","60.00%","-"
"Zee Entertainment","https://scanx.trade/company/zee-entertainment-ltd","89.75","-1.21%","90.55","2,99,121","8,620.66","15.24","11.15","151.70","89.29","-11.53%","-20.40%","-26.52%","-62.49%","-58.85%","0.75","2.68%","2.34%","8.03%","4.20","97.89","114.28","30.69","61.88%","-"
"Transformers & Rectifiers","https://scanx.trade/company/transformers-rectifiers-ltd","283.65","-0.77%","288.20","87,440","8,514.20","33.71","3.54","650.23","230.00","4.42%","-42.07%","-48.36%","899.47%","2,606.58%","6.38","0.07%","8.35%","24.24%","5.14","331.35","458.58","45.30","50.00%","-"
"Embassy Developments","https://scanx.trade/company/indiabulls-real-estate-ltd","62.10","-0.94%","63.49","93,093","8,481.92","-39.18","-2.81","163.70","60.60","-19.58%","-33.02%","-46.47%","-58.32%","-58.32%","0.83","-","-16.57%","3.63%","-","79.15","99.05","30.83","50.00%","-"
"Birla Corporation","https://scanx.trade/company/birla-corporation-ltd","1,056.00","-0.48%","1,060.00","1,001","8,131.76","16.41","30.76","1,537.15","901.85","-5.66%","-13.16%","-11.79%","7.76%","49.50%","1.33","0.94%","6.30%","6.05%","50.47","1,128.53","1,223.29","40.29","67.88%","-"
"Rashtriya Chemicals & Fertilizers","https://scanx.trade/company/rashtriya-chemicals-and-fertilizers-ltd","145.45","1.39%","143.50","2,34,718","8,024.30","25.34","33.66","184.45","108.05","2.94%","0.34%","-13.11%","10.31%","165.18%","1.61","0.92%","21.05%","9.29%","2.85","144.66","146.12","57.24","63.97%","-"
"Tejas Networks","https://scanx.trade/company/tejas-networks-ltd","452.65","-0.68%","452.15","43,271","8,004.81","-19.87","22.77","1,220.00","440.05","-8.39%","-23.78%","-61.47%","-20.55%","262.85%","2.44","0.56%","2.00%","22.45%","9.75","501.65","632.95","37.35","50.00%","-"
"Alkyl Amines Chemicals","https://scanx.trade/company/alkyl-amines-chemicals-ltd","1,564.30","-1.30%","1,566.25","1,381","7,999.90","44.49","200.61","2,448.80","1,509.20","-6.77%","-19.25%","-9.18%","-40.96%","1.15%","5.62","0.63%","37.52%","40.66%","28.94","1,726.32","1,905.71","29.00","68.50%","-"
"Campus Activewear","https://scanx.trade/company/campus-activewear-ltd","259.80","0.68%","258.10","6,845","7,936.17","65.35","29.12","337.20","215.00","-5.84%","-1.72%","-18.69%","-37.22%","-31.38%","18.40","-","25.20%","32.89%","4.97","271.10","267.71","42.56","60.00%","-"
"Sapphire Foods","https://scanx.trade/company/sapphire-foods-india-ltd","246.90","-2.41%","253.00","7,462","7,934.94","25,300.00","282.29","374.70","221.75","-0.70%","-16.26%","-25.71%","-9.81%","1.52%","5.84","-","3.88%","5.22%","5.71","258.40","301.96","49.56","60.00%","-"
"Alok Industries","https://scanx.trade/company/alok-industries-ltd","15.94","-0.81%","16.13","3,03,129","7,914.59","-11.73","74.87","23.50","13.90","-5.79%","-8.18%","-23.44%","2.18%","-24.99%","-0.38","-","4.28%","-3.59%","-","16.79","17.90","42.09","50.00%","-"
"Maharashtra Seamless","https://scanx.trade/company/maharashtra-seamless-ltd","548.50","-0.40%","548.65","14,207","7,349.86","9.41","23.17","774.00","540.95","-6.92%","-7.22%","-21.50%","72.21%","237.91%","1.12","1.82%","16.61%","14.83%","65.23","565.67","645.84","40.58","66.60%","-"
