Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Himadri Speciality Chemical","https://scanx.trade/company/himadri-speciality-chemical-ltd","489.15","1.42%","476.90","1,16,750","24,156.65","37.30","200.61","606.55","351.40","11.60%","9.06%","-16.69%","384.31%","1,028.37%","5.54","0.12%","13.50%","21.01%","9.06","462.24","462.11","64.31","64.83%","-"
"Krishna Institute of Medical Sciences","https://scanx.trade/company/krishna-institute-of-medical-sciences-ltd","602.70","-1.74%","611.40","10,421","24,116.37","69.00","-80.64","798.00","474.55","-12.05%","-14.07%","0.14%","95.38%","218.30%","10.81","-","16.05%","13.23%","39.48","682.78","685.00","24.29","65.00%","-"
"Aditya Birla Sun Life AMC","https://scanx.trade/company/aditya-birla-sun-life-amc-ltd","826.80","4.28%","789.70","59,989","23,866.31","23.58","-4.58","911.60","562.45","12.34%","6.43%","-0.81%","83.22%","18.17%","6.42","3.02%","24.63%","32.26%","28.86","764.30","764.97","71.88","68.33%","-"
"Deepak Nitrite","https://scanx.trade/company/deepak-nitrite-ltd","1,742.55","-0.55%","1,750.00","14,288","23,767.17","44.95","200.61","2,579.75","1,512.80","11.80%","-4.94%","-30.66%","-11.85%","89.16%","4.33","0.43%","16.81%","14.43%","59.06","1,665.91","1,851.24","67.43","60.00%","-"
"Bandhan Bank","https://scanx.trade/company/bandhan-bank-ltd","145.85","-0.17%","146.10","2,63,674","23,496.02","19.17","9.55","192.45","128.15","-2.96%","-10.05%","-8.30%","-38.21%","-64.69%","0.96","1.03%","10.32%","7.35%","15.97","153.08","162.99","45.32","59.47%","-"
"Shyam Metalics & Energy","https://scanx.trade/company/shyam-metalics-energy-ltd","831.60","1.66%","818.10","2,426","23,212.60","23.57","23.17","1,000.90","655.00","2.22%","-8.52%","15.77%","171.81%","121.26%","2.07","0.55%","11.24%","11.83%","39.63","842.85","882.82","54.84","68.34%","-"
"Emami","https://scanx.trade/company/emami-ltd","528.60","-0.55%","520.85","4,17,906","23,073.39","30.78","85.80","655.40","499.00","-0.30%","-4.56%","-10.68%","26.22%","24.89%","7.92","1.88%","29.46%","32.79%","17.04","528.18","571.79","51.21","68.66%","-"
"Sumitomo Chemical","https://scanx.trade/company/sumitomo-chemical-ltd","462.00","-0.52%","464.65","9,774","23,060.53","42.68","22.81","665.00","432.25","-0.82%","-13.14%","-13.68%","-1.80%","57.28%","7.25","0.26%","15.13%","22.88%","8.71","473.08","527.34","50.04","60.00%","-"
"Firstsource Solutions","https://scanx.trade/company/firstsource-solutions-ltd","328.10","-3.51%","339.25","31,182","22,868.27","35.91","39.80","422.80","272.40","-4.83%","0.60%","-12.96%","222.77%","215.63%","5.49","1.16%","13.91%","16.17%","7.43","346.56","350.96","37.21","64.77%","-"
"Sun TV Network","https://scanx.trade/company/sun-tv-network-ltd","579.30","0.36%","576.90","29,526","22,829.32","14.06","11.15","701.15","506.20","4.22%","9.84%","-15.13%","19.42%","19.25%","1.84","2.60%","18.40%","18.95%","48.03","558.98","587.48","59.85","71.72%","-"
"Piramal Pharma","https://scanx.trade/company/piramal-pharma-ltd","171.20","-0.98%","174.15","99,994","22,756.73","-960.56","17.47","273.20","165.05","-8.62%","-10.69%","-35.48%","50.28%","-10.72%","2.85","0.08%","0.23%","7.02%","0.30","186.73","199.92","37.94","72.62%","-"
"EIH Hotels","https://scanx.trade/company/eih-hotels-ltd","363.70","-0.05%","363.20","4,91,615","22,744.50","32.78","282.29","434.95","293.45","-2.79%","-0.64%","-9.12%","115.65%","308.42%","4.84","0.41%","16.58%","19.87%","10.16","378.53","376.44","39.89","68.20%","-"
"Jyoti CNC Automation","https://scanx.trade/company/jyoti-cnc-automation-ltd","994.00","1.45%","982.65","20,809","22,605.86","64.38","38.29","1,416.05","750.20","-1.80%","15.30%","-27.47%","129.48%","129.48%","12.17","-","18.35%","25.44%","9.47","951.02","1,020.91","57.98","50.00%","-"
"Pfizer","https://scanx.trade/company/pfizer-ltd","4,928.55","-0.57%","4,955.15","1,016","22,547.00","27.02","46.86","5,987.65","3,742.90","-0.85%","0.31%","-8.46%","9.63%","-4.26%","5.89","3.33%","15.33%","23.60%","131.73","5,081.54","5,023.17","35.99","71.85%","-"
"Timken","https://scanx.trade/company/timken-india-ltd","2,989.35","0.32%","2,910.10","2,080","22,485.51","49.28","20.13","3,575.65","2,200.00","-5.21%","-0.13%","-1.37%","-4.44%","141.28%","8.10","1.21%","16.22%","19.12%","52.95","3,058.97","3,006.09","41.99","68.29%","-"
